trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.95}",20,0,-29.813696422220037,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.2, 'e': 0.8999999999999999}",25,0,-214.94366806817183,"{0: 14, 1: 3, 2: 1, 3: 4, 4: 3}",0
3,False,"{'a': 0.2, 'e': 0.8499999999999999}",30,0,-183.81728484129505,"{0: 16, 1: 6, 2: 3, 3: 3, 4: 2}",0
4,False,"{'a': 0.2, 'e': 0.7999999999999998}",25,0,-203.50706377525597,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
5,False,"{'a': 0.2, 'e': 0.7499999999999998}",20,5,-21.50327219437876,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
6,False,"{'a': 0.2, 'e': 0.6999999999999997}",20,6,9.57967051983716,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.2, 'e': 0.6499999999999997}",25,0,-42.82750528998006,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",1
8,False,"{'a': 0.2, 'e': 0.5999999999999996}",25,0,-162.19963753085898,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
9,False,"{'a': 0.2, 'e': 0.5499999999999996}",20,0,-110.42294433275185,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
10,False,"{'a': 0.2, 'e': 0.4999999999999996}",20,0,-9.614210022227839,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.2, 'e': 0.4499999999999996}",20,0,-140.44132479891428,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.2, 'e': 0.39999999999999963}",20,0,-94.6123717289289,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.2, 'e': 0.34999999999999964}",25,0,-67.88249612087267,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
14,False,"{'a': 0.2, 'e': 0.29999999999999966}",25,7,-25.343287615952015,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 0}",1
15,False,"{'a': 0.2, 'e': 0.24999999999999967}",20,0,11.27480781948216,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.2, 'e': 0.19999999999999968}",20,0,-42.50683988413428,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.1499999999999997}",20,10,14.06670071577438,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.2, 'e': 0.09999999999999969}",25,0,-53.371755873582806,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
19,False,"{'a': 0.2, 'e': 0.049999999999999684}",25,6,24.139220473580107,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.2, 'e': -3.191891195797325e-16}",25,17,-27.808666337262004,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,0,20.115015811698324,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,20,12.531419618091599,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,10,14.641945878249814,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,24.35731833817968,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,31.48206513170507,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,32.98320932042796,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,9,-22.842624476340696,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,13,13.778974007347452,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,7,27.448337194460528,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,4,16.925188183603392,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
