trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.98}",25,0,-63.4938011891448,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
2,False,"{'a': 0.1, 'e': 0.9603999999999999}",20,0,-84.70371721584733,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
3,False,"{'a': 0.1, 'e': 0.9411919999999999}",35,2,-114.56891086096046,"{0: 23, 1: 4, 2: 4, 3: 0, 4: 2}",1
4,False,"{'a': 0.1, 'e': 0.9223681599999999}",20,0,-127.9119516709393,"{0: 7, 1: 5, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.9039207967999998}",20,0,-52.159140126730534,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.1, 'e': 0.8858423808639998}",20,0,-141.05502557671858,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.1, 'e': 0.8681255332467198}",25,0,-135.99723862734004,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.1, 'e': 0.8507630225817854}",20,0,-141.96875505275545,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
9,False,"{'a': 0.1, 'e': 0.8337477621301497}",20,0,-54.50659952833178,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.8170728068875467}",20,0,-71.73704314168796,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.1, 'e': 0.8007313507497957}",30,0,-131.59997548107393,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.1, 'e': 0.7847167237347998}",25,0,-113.17634127272788,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.1, 'e': 0.7690223892601038}",30,13,-156.20049173001078,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 3}",1
14,False,"{'a': 0.1, 'e': 0.7536419414749017}",20,0,-135.90937869155346,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.1, 'e': 0.7385691026454037}",20,0,-85.38997883432208,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.1, 'e': 0.7237977205924956}",35,24,-55.469976278966904,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.1, 'e': 0.7093217661806457}",25,0,-194.6852423917969,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
18,False,"{'a': 0.1, 'e': 0.6951353308570327}",25,16,-4.102536433089057,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.1, 'e': 0.6812326242398921}",20,0,-42.06109054498826,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.1, 'e': 0.6676079717550942}",20,0,-0.6393395915491427,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
21,False,"{'a': 0.1, 'e': 0.6542558123199923}",20,2,-26.22723219736843,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
22,False,"{'a': 0.1, 'e': 0.6411706960735924}",20,0,-40.57185042310285,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
23,False,"{'a': 0.1, 'e': 0.6283472821521205}",20,0,-80.62012337954121,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
24,False,"{'a': 0.1, 'e': 0.6157803365090782}",25,13,-32.53523233134469,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
